# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
C;1013;Modulex White;#F4F4F4;0;123;;;2998
C;1014;Modulex Light Bluish Gray;#AFB5C7;0;124;;;10
C;1015;Modulex Light Gray;#9C9C9C;0;125;;;2249
C;1016;Modulex Charcoal Gray;#595D60;0;126;;;2
C;1017;Modulex Tile Gray;#6B5A5A;0;127;;;219
C;1018;Modulex Black;#4D4C52;0;128;;;2499
C;1019;Modulex Tile Brown;#330000;0;131;;;158
C;1020;Modulex Terracotta;#5C5030;0;134;;;1622
C;1021;Modulex Brown;#907450;0;132;;;2223
C;1022;Modulex Buff;#DEC69C;0;133;;;1626
C;1023;Modulex Red;#B52C20;0;129;;;26
C;1024;Modulex Pink Red;#F45C40;0;130;;;7
C;1025;Modulex Orange;#F47B30;0;135;;;126
C;1026;Modulex Light Orange;#F7AD63;0;136;;;7
C;1027;Modulex Light Yellow;#FFE371;0;137;;;8
C;1028;Modulex Ochre Yellow;#FED557;0;138;;;1107
C;1029;Modulex Lemon;#BDC618;0;139;;;23
C;1030;Modulex Pastel Green;#7DB538;0;141;;;35
C;1031;Modulex Olive Green;#7C9051;0;140;;;1111
C;1032;Modulex Aqua Green;#27867E;0;142;;;16
C;1033;Modulex Teal Blue;#467083;0;146;;;1104
C;1034;Modulex Tile Blue;#0057A6;0;143;;;80
C;1035;Modulex Medium Blue;#61AFFF;0;144;;;8
C;1036;Modulex Pastel Blue;#68AECE;0;145;;;19
C;1037;Modulex Violet;#BD7D85;0;147;;;7
C;1038;Modulex Pink;#F785B1;0;148;;;20
C;1039;Modulex Clear;#FFFFFF;0;149;;;1394
C;1040;Modulex Foil Dark Gray;#595D60;0;210;;;1
C;1041;Modulex Foil Light Gray;#9C9C9C;0;211;;;1
C;1042;Modulex Foil Dark Green;#006400;0;212;;;1
C;1043;Modulex Foil Light Green;#7DB538;0;213;;;1
C;1044;Modulex Foil Dark Blue;#0057A6;0;214;;;1
C;1045;Modulex Foil Light Blue;#68AECE;0;215;;;1
C;1046;Modulex Foil Violet;#4B0082;0;216;;;1
C;1047;Modulex Foil Red;#8B0000;0;217;;;1
C;1048;Modulex Foil Yellow;#FED557;0;218;;;1
C;1049;Modulex Foil Orange;#F7AD63;0;219;;;1
C;1050;Coral;#FF698F;0;220;353;353;7849
C;1051;Pastel Blue;#5AC4DA;0;72;11;;734
C;1052;Glitter Trans-Orange;#F08F1C;1;222;341;341;1
C;1053;Opal Trans-Light Blue;#68BCC5;1;223;362;362;1014
C;1054;Opal Trans-Dark Pink;#CE1D9B;1;224;364;364;253
C;1055;Opal Trans-Clear;#FCFCFC;1;228;360;360;988
C;1056;Opal Trans-Brown;#583927;1;229;363;363;140
C;1057;Trans-Light Bright Green;#C9E788;1;226;227;227;119
C;1058;Trans-Light Green;#94E5AB;1;221;285;285;42
C;1059;Opal Trans-Purple;#8320B7;1;230;365;365;321
C;1060;Opal Trans-Bright Green;#84B68D;1;233;367;367;182
C;1061;Opal Trans-Dark Blue;#0020A0;1;232;366;10366;216
C;1062;Vibrant Yellow;#EBD800;0;236;368;368;2258
C;1063;Pearl Copper;#B46A00;0;249;346;;72
C;1064;Fabuland Red;#FF8014;0;;13;508;23
C;1065;Reddish Gold;#AC8247;0;235;189;189;79
C;1066;Curry;#DD982E;0;161;180;;10
C;1067;Dark Nougat;#AD6140;0;225;128;128;10
C;1068;Bright Reddish Orange;#EE5434;0;231;123;;16
C;1069;Pearl Red;#D60026;0;252;184;184;24
C;1070;Pearl Blue;#0059A3;0;254;185;185;21
C;1071;Pearl Green;#008E3C;0;253;186;186;21
C;1072;Pearl Brown;#57392C;0;255;187;;35
C;1073;Pearl Black;#0A1327;0;244;149;83;35
C;1074;Duplo Blue;#009ECE;0;247;188;;6
C;1075;Duplo Medium Blue;#3E95B6;0;;269;;1
C;1076;Duplo Lime;#FFF230;0;171;15;;5
C;1077;Fabuland Lime;#78FC78;0;248;14;510;16
C;1078;Duplo Medium Green;#468A5F;0;;210;;1
C;1079;Duplo Light Green;#60BA76;0;;233;;1
C;1080;Light Tan;#F3C988;0;;224;;1
C;1081;Rust Orange;#872B17;0;;216;216;3
C;1082;Clikits Pink;#FE78B0;0;;295;295;32
C;1083;Two-tone Copper;#945148;0;237;176;;2
C;1084;Two-tone Gold;#AB673A;0;238;178;;6
C;1085;Two-tone Silver;#737271;0;239;179;;6
C;1086;Pearl Lime;#6A7944;0;;200;200;41
C;1087;Duplo Pink;#FF879C;0;;16;;47
C;1088;Medium Brown;#755945;0;240;370;370;225
C;1089;Warm Tan;#CCA373;0;241;371;371;624
C;1090;Duplo Turquoise;#3FB69E;0;;;;2
C;1091;Warm Yellowish Orange;#FFCB78;0;172;225;;19
C;1092;Metallic Copper;#764D3B;0;250;300;300;52
C;1093;Light Lilac;#9195CA;0;246;220;;51
C;1094;Trans-Medium Purple;#8D73B3;1;234;236;;258
C;1095;Trans-Black;#635F52;1;251;375;10375;935
C;1096;Glitter Trans-Bright Green;#D9E4A7;1;;351;;0
C;1097;Glitter Trans-Medium Purple;#8D73B3;1;;303;;6
C;1098;Glitter Trans-Green;#84B68D;1;;155;;1
C;1099;Glitter Trans-Pink;#E4ADC8;1;;301;;2
C;1100;Clikits Yellow;#FFCF0B;0;;190;;22
C;1101;Duplo Dark Purple;#5F27AA;0;;197;;1
C;1102;Trans-Neon Red;#FF0040;1;;158;158;22
C;1103;Pearl Titanium;#3E3C39;0;77;316;87;7874
C;1104;HO Aqua;#B3D7D1;0;;;;1
C;1105;HO Azure;#1591CB;0;;;;1
C;1106;HO Blue-gray;#354E5A;0;;;;3
C;1107;HO Cyan;#5B98B3;0;;;;1
C;1108;HO Dark Aqua;#A7DCCF;0;;;;1
C;1109;HO Dark Blue;#0A3463;0;;;;9
C;1110;HO Dark Gray;#6D6E5C;0;;;;11
C;1111;HO Dark Green;#184632;0;;;;4
C;1112;HO Dark Lime;#B2B955;0;;;;1
C;1113;HO Dark Red;#631314;0;;;;10
C;1114;HO Dark Sand Green;#627A62;0;;;;1
C;1115;HO Dark Turquoise;#10929D;0;;;;1
C;1116;HO Earth Orange;#BB771B;0;;;;2
C;1117;HO Gold;#B4A774;0;;;;1
C;1118;HO Light Aqua;#A3D1C0;0;;;;1
C;1119;HO Light Brown;#965336;0;;;;1
C;1120;HO Light Gold;#CDC298;0;;;;2
C;1121;HO Light Tan;#F9F1C7;0;;;;4
C;1122;HO Light Yellow;#F5FAB7;0;;;;1
C;1123;HO Medium Blue;#7396C8;0;;;;2
C;1124;HO Medium Red;#C01111;0;;;;4
C;1125;HO Metallic Blue;#0D4763;0;;;;3
C;1126;HO Metallic Dark Gray;#5E5E5E;0;;;;2
C;1127;HO Metallic Green;#879867;0;;;;1
C;1128;HO Metallic Sand Blue;#5F7D8C;0;;;;1
C;1129;HO Olive Green;#9B9A5A;0;;;;14
C;1130;HO Rose;#D06262;0;;;;1
C;1131;HO Sand Blue;#6E8AA6;0;;;;2
C;1132;HO Sand Green;#A0BCAC;0;;;;4
C;1133;HO Tan;#E4CD9E;0;;;;3
C;1134;HO Titanium;#616161;0;;;;1
C;1135;Metal;#A5ADB4;0;;;;55
C;1136;Reddish Orange;#CA4C0B;0;167;402;402;3674
C;1137;Sienna Brown;#915C3C;0;169;422;422;64
C;1138;Umber Brown;#5E3F33;0;168;423;423;17
C;1139;Opal Trans-Yellow;#F5CD2F;1;170;376;;26
C;1140;Neon Orange;#EC4612;0;165;133;;14
C;1141;Neon Green;#D2FC43;0;166;134;;25
